img,threeD,in:Iteration,in:Rotation,in:Terrace,in:MaxHeight,out:AverageView,out:AreaDaylightFacade,out:AreaDaylightPlaza,out:AverageSkyExposurePlaza
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00202.jpg,design_explorer_data/kpf/Json/00202.json,202,-200,0.3,348.5,0.766833,116202.3735,23280,0.520569
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00203.jpg,design_explorer_data/kpf/Json/00203.json,203,-200,0.4,337.5,0.758647,113440.1807,23079,0.518549
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00204.jpg,design_explorer_data/kpf/Json/00204.json,204,-200,0.5,315.5,0.748103,109657.9603,23079,0.51734
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00205.jpg,design_explorer_data/kpf/Json/00205.json,205,-200,0.6,304.5,0.740351,108384.0429,22930,0.514955
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00206.jpg,design_explorer_data/kpf/Json/00206.json,206,-200,0.7,293.5,0.733654,106810.1531,22705,0.514626
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00207.jpg,design_explorer_data/kpf/Json/00207.json,207,-200,0.8,282.5,0.725125,106088.3184,22704,0.513979
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00208.jpg,design_explorer_data/kpf/Json/00208.json,208,-200,0.9,271.5,0.721269,107879.5387,22827,0.512933
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00209.jpg,design_explorer_data/kpf/Json/00209.json,209,-200,1,260.5,0.716423,108810.9795,22802,0.512852
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00210.jpg,design_explorer_data/kpf/Json/00210.json,210,-210,0.1,370.5,0.785024,124804.2811,22526.82385,0.50992
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00211.jpg,design_explorer_data/kpf/Json/00211.json,211,-210,0.2,359.5,0.778517,123002.7658,22227.82385,0.50719
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00212.jpg,design_explorer_data/kpf/Json/00212.json,212,-210,0.3,348.5,0.774006,120243.23,22203.82385,0.504425
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00213.jpg,design_explorer_data/kpf/Json/00213.json,213,-210,0.4,337.5,0.763396,117106.5325,21951.82385,0.502044
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00214.jpg,design_explorer_data/kpf/Json/00214.json,214,-210,0.5,315.5,0.754785,114094.9429,21877.82385,0.501028
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00215.jpg,design_explorer_data/kpf/Json/00215.json,215,-210,0.6,304.5,0.747699,113250.2125,21877.82385,0.49815
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00216.jpg,design_explorer_data/kpf/Json/00216.json,216,-210,0.7,293.5,0.741795,111355.4901,21851.82385,0.497518
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00217.jpg,design_explorer_data/kpf/Json/00217.json,217,-210,0.8,282.5,0.734759,110743.152,22076.82385,0.496419
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00218.jpg,design_explorer_data/kpf/Json/00218.json,218,-210,0.9,282.5,0.734977,112589.6078,22101.82385,0.495533
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00219.jpg,design_explorer_data/kpf/Json/00219.json,219,-210,1,282.5,0.732605,113551.5967,22176.82385,0.495413
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00220.jpg,design_explorer_data/kpf/Json/00220.json,220,-220,0.1,491.5,0.892012,142878.0441,42347,0.572089
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00221.jpg,design_explorer_data/kpf/Json/00221.json,221,-220,0.2,469.5,0.888377,141305.6241,42347,0.568747
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00222.jpg,design_explorer_data/kpf/Json/00222.json,222,-220,0.3,458.5,0.886158,139280.0113,42422,0.567927
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00223.jpg,design_explorer_data/kpf/Json/00223.json,223,-220,0.4,436.5,0.882853,138807.8813,42422,0.565213
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00224.jpg,design_explorer_data/kpf/Json/00224.json,224,-220,0.5,425.5,0.880721,137585.5585,42497,0.565211
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00225.jpg,design_explorer_data/kpf/Json/00225.json,225,-220,0.6,414.5,0.87937,139002.2028,42497,0.564064
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00226.jpg,design_explorer_data/kpf/Json/00226.json,226,-220,0.7,392.5,0.875474,139637.1044,42572,0.563968
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00227.jpg,design_explorer_data/kpf/Json/00227.json,227,-220,0.8,381.5,0.874225,141850.5873,42572,0.563173
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00228.jpg,design_explorer_data/kpf/Json/00228.json,228,-220,0.9,359.5,0.870555,141439.9088,42721,0.564068
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00229.jpg,design_explorer_data/kpf/Json/00229.json,229,-220,1,348.5,0.869393,146028.6489,42721,0.562724
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00230.jpg,design_explorer_data/kpf/Json/00230.json,230,-230,0.1,491.5,0.88864,151268.2015,39475,0.544321
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00231.jpg,design_explorer_data/kpf/Json/00231.json,231,-230,0.2,469.5,0.884018,149038.8682,39475,0.541127
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00232.jpg,design_explorer_data/kpf/Json/00232.json,232,-230,0.3,458.5,0.881647,148495.4616,39550,0.539392
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00233.jpg,design_explorer_data/kpf/Json/00233.json,233,-230,0.4,436.5,0.877301,147736.7896,39550,0.537308
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00234.jpg,design_explorer_data/kpf/Json/00234.json,234,-230,0.5,425.5,0.875098,147847.5131,39625,0.536297
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00235.jpg,design_explorer_data/kpf/Json/00235.json,235,-230,0.6,414.5,0.873006,148431.4635,39625,0.535833
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00236.jpg,design_explorer_data/kpf/Json/00236.json,236,-230,0.7,392.5,0.868811,150565.8844,39700,0.534504
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00237.jpg,design_explorer_data/kpf/Json/00237.json,237,-230,0.8,381.5,0.866752,151740.2018,39724,0.534242
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00238.jpg,design_explorer_data/kpf/Json/00238.json,238,-230,0.9,359.5,0.863293,153020.5754,39874,0.534442
https://s3.amazonaws.com/2656-de/design_explorer_data/kpf/Images/00239.jpg,design_explorer_data/kpf/Json/00239.json,239,-230,1,348.5,0.860784,156415.1688,39874,0.533525
