name,img,threeD,in: Max Height[ft],in: Average Tower Floorplate[sqft],in: Position Index,out: Plaza Analysis Area[sqft],out: Average Daylight Hours Equinox[hr],out: Facade Analysis Area[sqft],out: Area with View[sqft],out: Empire State[sqft],out: Central Park[sqft],out: East River[sqft],out: Daylight Evaluation Score[%]
0370,design_explorer_data/kpf/Images/0370.png,design_explorer_data/kpf/Json/0370.json,1162.0,15173.68421,3,48800.0,4.258034,632174.35478,357836.014101,89847.805531,179307.033408,205621.495227,100.413333
0371,design_explorer_data/kpf/Images/0371.png,design_explorer_data/kpf/Json/0371.json,1246.0,14151.219512,3,48800.0,4.258034,653503.018589,379164.677911,95179.971483,189971.365313,223612.256015,100.583333
0372,design_explorer_data/kpf/Images/0372.png,design_explorer_data/kpf/Json/0372.json,1330.0,13227.272727,3,48800.0,4.258034,673971.777285,407567.215425,100452.317046,205122.097786,249795.732736,100.935
0373,design_explorer_data/kpf/Images/0373.png,design_explorer_data/kpf/Json/0373.json,1148.0,15600.0,3,52775.0,4.355843,634339.831865,371091.658838,93258.636776,186128.695899,215466.308718,101.948333
0374,design_explorer_data/kpf/Images/0374.png,design_explorer_data/kpf/Json/0374.json,1218.0,14520.0,3,52775.0,4.355843,648674.097917,385425.924889,96842.203289,193295.828925,226217.008257,102.229167
0375,design_explorer_data/kpf/Images/0375.png,design_explorer_data/kpf/Json/0375.json,1288.0,13567.058823,3,52775.0,4.355843,663008.363968,399760.190941,100425.769802,200462.96195,238286.010713,102.433333
0376,design_explorer_data/kpf/Images/0376.png,design_explorer_data/kpf/Json/0376.json,1386.0,12743.478261,3,52775.0,4.355843,690471.520422,431761.466592,106586.80969,217414.356457,267832.217875,102.846667
0377,design_explorer_data/kpf/Images/0377.png,design_explorer_data/kpf/Json/0377.json,1456.0,12000.0,3,56850.0,4.417775,704805.786473,462387.383046,114254.925495,232727.314684,290813.291907,105.025833
0378,design_explorer_data/kpf/Images/0378.png,design_explorer_data/kpf/Json/0378.json,644.0,30000.0,2,38650.0,4.081724,488039.896372,165901.599851,42031.099597,84062.199194,49305.712989,87.301667
0379,design_explorer_data/kpf/Images/0379.png,design_explorer_data/kpf/Json/0379.json,658.0,29010.0,2,38650.0,4.081724,491133.204294,169019.931169,42804.426577,85608.853155,51790.744307,88.4275
0380,design_explorer_data/kpf/Images/0380.png,design_explorer_data/kpf/Json/0380.json,686.0,27771.428571,2,38650.0,4.081724,500970.640526,179044.31159,45263.785635,90527.571271,56897.564554,89.015833
0381,design_explorer_data/kpf/Images/0381.png,design_explorer_data/kpf/Json/0381.json,714.0,26318.181818,2,38650.0,4.081724,507438.865417,185510.724394,46880.841858,93761.683716,62133.28127,89.710833
0382,design_explorer_data/kpf/Images/0382.png,design_explorer_data/kpf/Json/0382.json,770.0,24300.0,2,38650.0,4.081724,523938.608554,202204.457222,51005.777642,102011.555285,77941.870634,89.729167
0383,design_explorer_data/kpf/Images/0383.png,design_explorer_data/kpf/Json/0383.json,840.0,21849.056604,2,38650.0,4.081724,538272.874606,216538.723273,54589.344155,109178.688311,93411.704574,89.3975
0384,design_explorer_data/kpf/Images/0384.png,design_explorer_data/kpf/Json/0384.json,672.0,28068.292683,2,38650.0,4.081724,494226.512215,176489.935126,43978.127897,89054.200652,56916.4302,88.828333
0385,design_explorer_data/kpf/Images/0385.png,design_explorer_data/kpf/Json/0385.json,700.0,26902.325581,2,38650.0,4.081724,504063.948447,186327.371358,46437.486955,93972.918768,61675.529147,89.465
0386,design_explorer_data/kpf/Images/0386.png,design_explorer_data/kpf/Json/0386.json,728.0,25520.0,2,38650.0,4.081724,510532.173339,192795.596249,48054.543178,97207.031214,68290.918735,89.755833
0387,design_explorer_data/kpf/Images/0387.png,design_explorer_data/kpf/Json/0387.json,784.0,23608.163265,2,38650.0,4.081724,527031.916476,209295.339386,52179.478962,105456.902782,83910.90286,89.745
0388,design_explorer_data/kpf/Images/0388.png,design_explorer_data/kpf/Json/0388.json,854.0,21266.666667,2,38650.0,4.081724,541366.182527,223629.605438,55763.045475,112624.035808,98950.784244,90.095833
0389,design_explorer_data/kpf/Images/0389.png,design_explorer_data/kpf/Json/0389.json,728.0,25840.0,2,38650.0,4.081724,513901.38468,197480.966208,49581.821782,99090.205845,70909.363019,89.7875
0390,design_explorer_data/kpf/Images/0390.png,design_explorer_data/kpf/Json/0390.json,756.0,24561.702128,2,38650.0,4.081724,520369.609571,203949.191099,51198.878005,102324.318291,78166.520538,89.9425
0391,design_explorer_data/kpf/Images/0391.png,design_explorer_data/kpf/Json/0391.json,812.0,22800.0,2,38650.0,4.081724,536869.352708,220448.934237,55323.813789,110574.18986,93797.273564,90.300833
0392,design_explorer_data/kpf/Images/0392.png,design_explorer_data/kpf/Json/0392.json,882.0,20614.285714,2,38650.0,4.081724,551203.61876,234783.200288,58907.380302,117741.322885,107977.249834,90.6775
0393,design_explorer_data/kpf/Images/0393.png,design_explorer_data/kpf/Json/0393.json,784.0,23387.755102,2,38650.0,4.081724,526837.834462,212281.301676,52765.195802,107567.283353,86672.977111,90.106667
0394,design_explorer_data/kpf/Images/0394.png,design_explorer_data/kpf/Json/0394.json,840.0,21781.132075,2,38650.0,4.081724,543337.577599,228781.044813,56890.131586,115817.154922,102507.591322,90.540833
0395,design_explorer_data/kpf/Images/0395.png,design_explorer_data/kpf/Json/0395.json,910.0,19758.62069,2,38650.0,4.081724,557671.843651,243115.310865,60473.698099,122984.287948,115835.420272,90.799167
0396,design_explorer_data/kpf/Images/0396.png,design_explorer_data/kpf/Json/0396.json,882.0,20485.714286,2,38650.0,4.081724,552842.922978,240382.286494,59258.092118,120552.477714,117304.054034,90.596667
0397,design_explorer_data/kpf/Images/0397.png,design_explorer_data/kpf/Json/0397.json,966.0,18619.354839,2,38650.0,4.081724,574171.586788,261710.950303,64590.25807,131216.809618,134398.706668,90.710833
0398,design_explorer_data/kpf/Images/0398.png,design_explorer_data/kpf/Json/0398.json,1036.0,17104.477612,2,38650.0,4.081724,588505.852839,279824.281766,69013.042245,140067.549832,154326.151965,90.3975
0399,design_explorer_data/kpf/Images/0399.png,design_explorer_data/kpf/Json/0399.json,700.0,27237.209302,2,38650.0,4.082371,507019.304659,194299.918511,48527.589404,97813.422392,66156.752742,89.31
0400,design_explorer_data/kpf/Images/0400.png,design_explorer_data/kpf/Json/0400.json,728.0,26160.0,2,38650.0,4.082371,516856.740891,204137.354743,50986.948462,102732.140508,72518.690211,89.9925
0401,design_explorer_data/kpf/Images/0401.png,design_explorer_data/kpf/Json/0401.json,756.0,24868.085106,2,38650.0,4.082371,523324.965782,210605.579634,52604.004684,105966.252953,79775.84773,89.701667
0402,design_explorer_data/kpf/Images/0402.png,design_explorer_data/kpf/Json/0402.json,812.0,23082.352941,2,38650.0,4.082371,539824.708919,227105.322771,56728.940469,114216.124522,95406.600757,90.351667
0403,design_explorer_data/kpf/Images/0403.png,design_explorer_data/kpf/Json/0403.json,882.0,20871.428571,2,38650.0,4.082371,554158.974971,241439.588823,60312.506982,121383.257548,109586.577026,90.6725
