name,img,threeD,in: Max Height,in: Average Tower Floorplate,in: Position Index,out: Plaza Analysis Area,out: Average Daylight Hours Equinox,out: Facade Analysis Area,out: Area with View,out: Empire State,out: Central Park,out: East River,out: Daylight Evaluation Score
0183,design_explorer_data/kpf/Images/0183.png,design_explorer_data/kpf/Json/0183.json,742.0,25382.608696,4,42000.0,5.133145,519950.048813,231623.684679,71459.525241,112020.624417,72934.445911,89.2875
0184,design_explorer_data/kpf/Images/0184.png,design_explorer_data/kpf/Json/0184.json,770.0,24150.0,4,42000.0,5.133145,526418.273704,238091.90957,73076.581464,115254.736863,78083.086048,89.931667
0185,design_explorer_data/kpf/Images/0185.png,design_explorer_data/kpf/Json/0185.json,826.0,22453.846154,4,42000.0,5.133145,542918.016841,254591.652707,77201.517248,123504.608432,90217.537605,89.760833
0186,design_explorer_data/kpf/Images/0186.png,design_explorer_data/kpf/Json/0186.json,896.0,20336.842105,4,42000.0,5.133145,557252.282893,268925.918759,80785.083761,130671.741457,103477.788371,89.975833
0187,design_explorer_data/kpf/Images/0187.png,design_explorer_data/kpf/Json/0187.json,770.0,24450.0,4,42000.0,5.133145,529787.485045,242041.428372,74108.445196,117260.896757,79690.904595,89.261667
0188,design_explorer_data/kpf/Images/0188.png,design_explorer_data/kpf/Json/0188.json,798.0,23304.0,4,42000.0,5.133145,536255.709937,248509.653264,75725.501418,120495.009202,85831.238224,89.653333
0189,design_explorer_data/kpf/Images/0189.png,design_explorer_data/kpf/Json/0189.json,854.0,21733.333333,4,42000.0,5.133145,552755.453074,265009.396401,79850.437203,128744.880771,100107.952188,90.175
0190,design_explorer_data/kpf/Images/0190.png,design_explorer_data/kpf/Json/0190.json,924.0,19749.152542,4,42000.0,5.133145,567089.719125,279343.662452,83434.003716,135912.013796,112528.985292,90.486667
0191,design_explorer_data/kpf/Images/0191.png,design_explorer_data/kpf/Json/0191.json,826.0,22246.153846,4,42000.0,5.133145,542723.934828,256600.563477,77342.557641,123689.255742,95724.616017,89.783333
0192,design_explorer_data/kpf/Images/0192.png,design_explorer_data/kpf/Json/0192.json,882.0,20807.142857,4,42000.0,5.133145,559223.677965,273100.306614,81467.493425,131939.12731,110783.271466,90.5425
0193,design_explorer_data/kpf/Images/0193.png,design_explorer_data/kpf/Json/0193.json,952.0,18963.934426,4,42000.0,5.133145,573557.944016,287434.572666,85051.059938,139106.260336,122960.883045,90.74
0194,design_explorer_data/kpf/Images/0194.png,design_explorer_data/kpf/Json/0194.json,924.0,19627.118644,4,42000.0,5.133145,568729.023344,285113.757705,83843.82977,137073.796657,125008.534009,90.105
